gene	chr	X5SS	X3SS	strand	exon_go1	exon_go2	AFEPSI_go1	AFEPSI_go2	width	CPAbP	U1_dependent_CPAbP
ENSG00000001617	3	50155843	50173793	+	3:50155045-50155843	3:50173793-50173956	0.666666666666667	0.833333333333333	17950	Y	N
ENSG00000002549	4	17577567	17581760	+	4:17577192-17577567	4:17581760-17582152	0.908	0.552	4193	Y	N
ENSG00000003509	2	37231760	37231767	+	2:37231631-37231760	2:37231767-37231989	0.708840468226461	0.291159531773539	7	N	N
ENSG00000003756	3	50089057	50113950	+	3:50088919-50089057	3:50113950-50115607	0.671279194599438	0.566756704789585	24893	Y	N
ENSG00000004487	1	23019947	23030469	+	1:23019443-23019947	1:23030469-23030634	0.126343908832152	0.873656091167848	10522	Y	Y
ENSG00000005156	17	34980622	34980640	+	17:34980512-34980622	17:34980640-34981158	0.675068777233156	0.222224349226638	18	N	N
ENSG00000005302	X	11758365	11772621	+	X:11758159-11758365	X:11772621-11772705	0.750009171619341	0.599548756328417	14256	Y	N
ENSG00000005483	7	105014535	105076043	+	7:105014190-105014535	7:105076043-105076081	0.929166666666667	0.425	61508	Y	Y
ENSG00000006530	7	141551499	141555439	+	7:141551278-141551499	7:141555439-141555567	0.316116293151761	0.815550373514905	3940	Y	N
ENSG00000006634	7	87876778	87897294	+	7:87876216-87876778	7:87897294-87897339	0.962292609351433	0.226244343891403	20516	Y	N
ENSG00000007047	19	45079377	45251271	+	19:45079288-45079377	19:45251271-45251639	0.886608489549666	0.187944408532644	171894	Y	N
ENSG00000007080	19	17933048	17942656	+	19:17933015-17933048	19:17942656-17942845	0.607617584789738	0.673189007430778	9608	Y	N
ENSG00000008083	6	15246584	15248855	+	6:15246069-15246584	6:15248855-15248964	0.53734756097561	0.774009146341463	2271	Y	Y
ENSG00000008394	12	16347710	16347778	+	12:16347645-16347710	12:16347778-16347898	0.977266628330458	0.0546866014951121	68	N	N
ENSG00000008853	8	22987563	22999579	+	8:22987417-22987563	8:22999579-23000105	0.305555555555556	0.949074074074074	12016	Y	N
ENSG00000008952	3	169966858	169975451	+	3:169966635-169966858	3:169975451-169975716	0.190910082927737	0.809089917072263	8593	Y	N
ENSG00000010292	12	6494075	6494093	+	12:6493356-6494075	12:6494093-6494154	0.544635695187166	0.928721033868093	18	N	N
ENSG00000010626	12	6873781	6904733	+	12:6873569-6873781	12:6904733-6905250	0.423771802325581	0.654561531007752	30952	Y	N
ENSG00000011304	19	797505	798428	+	19:797075-797505	19:798428-798545	0.990207499240104	0.0119183511000322	923	Y	N
ENSG00000011454	9	122941093	122957011	+	9:122941020-122941093	9:122957011-122957209	0.196175850647395	0.916315366857372	15918	Y	N
ENSG00000013503	12	106357951	106366516	+	12:106357748-106357951	12:106366516-106366572	0.899305555555556	0.604166666666667	8565	Y	N
ENSG00000013561	5	141969234	141980123	+	5:141968886-141969234	5:141980123-141980351	0.618040523496941	0.645124626764984	10889	Y	N
ENSG00000013573	12	31074091	31074220	+	12:31073860-31074091	12:31074220-31074327	0.977459016393443	0.39344262295082	129	N	N
ENSG00000013810	4	1721643	1723421	+	4:1721490-1721643	4:1723421-1723583	0.16486565305794	0.83513434694206	1778	N	N
ENSG00000014123	6	96521950	96542894	+	6:96521595-96521950	6:96542894-96543016	0.602094534050179	0.682795698924731	20944	Y	N
ENSG00000014216	11	65181410	65181872	+	11:65181194-65181410	11:65181872-65182308	0.146176715101569	0.838583362327705	462	N	N
ENSG00000014641	2	63589046	63589151	+	2:63588609-63589046	2:63589151-63589384	0.995833333333333	0.025	105	N	N
ENSG00000015171	10	134892	135069	+	10:134465-134892	10:135069-135302	0.162790697674419	0.433055316776247	177	N	N
ENSG00000015568	2	109804555	109831317	+	2:109803979-109804555	2:109831317-109831452	1	1	26762	N	N
ENSG00000017797	18	9475691	9512991	+	18:9475454-9475691	18:9512991-9513289	0.798076923076923	0.935897435897436	37300	Y	Y
ENSG00000018189	4	70705294	70764475	+	4:70704801-70705294	4:70764475-70764576	0.46875	0.53125	59181	Y	Y
ENSG00000019144	11	118613896	118621363	+	11:118613153-118613896	11:118621363-118621538	1	1	7467	Y	N
ENSG00000020129	1	35558484	35558506	+	1:35557473-35558484	1:35558506-35558685	0.849982745986844	0.203295942537746	22	N	N
ENSG00000021826	2	210477766	210556599	+	2:210477682-210477766	2:210556599-210556859	0.0358747432320997	0.885940814947095	78833	Y	N
ENSG00000022267	X	136147628	136147660	+	X:136147465-136147628	X:136147660-136147878	0.961775192117752	0.0946014309460143	32	N	N
ENSG00000023171	11	123431166	123454398	+	11:123430269-123431166	11:123454398-123454829	0.288483656500491	0.711516343499509	23232	Y	N
ENSG00000023608	14	61762588	61778848	+	14:61762420-61762588	14:61778848-61778910	0.906103286384977	0.563380281690141	16260	Y	N
ENSG00000026036	20	63662889	63686371	+	20:63662829-63662889	20:63686371-63688050	0.483516483516484	0.838827838827839	23482	Y	N
ENSG00000026103	10	88990906	89007700	+	10:88990531-88990906	10:89007700-89007837	1	1	16794	Y	N
ENSG00000028116	2	58046868	58046875	+	2:58046642-58046868	2:58046875-58047128	0.418142818142818	0.428571428571429	7	N	N
ENSG00000029364	14	69398603	69398690	+	14:69398015-69398603	14:69398690-69399465	0.243945975730084	0.808938639654532	87	N	N
ENSG00000029725	17	5282520	5338019	+	17:5282265-5282520	17:5338019-5338138	0.935483870967742	0.387096774193548	55499	Y	N
ENSG00000029993	X	150983376	150983385	+	X:150983335-150983376	X:150983385-150983591	0.108781227839603	0.108185833636813	9	N	N
ENSG00000030582	17	44345605	44345610	+	17:44345246-44345605	17:44345610-44345741	0.962743691512127	0.0646950354190347	5	N	N
ENSG00000031698	1	109214128	109228352	+	1:109213918-109214128	1:109228352-109228432	0.763971274784424	0.567213159773713	14224	Y	Y
ENSG00000032444	19	7534239	7534242	+	19:7534004-7534239	19:7534242-7535582	0.627272727272727	0.957575757575758	3	N	N
ENSG00000032742	13	20567256	20638332	+	13:20567069-20567256	13:20638332-20638518	0.90952380952381	0.542857142857143	71076	Y	Y
ENSG00000034510	2	84905718	84906003	+	2:84905656-84905718	2:84906003-84906117	0.822041516835567	0.711833932657731	285	Y	N
